Date,Retail & Recreation (%),Grocery & Pharmacy Stores (%),Residential (%),Transit Stations (%),Parks (%),Workplaces (%)
2/16/20,1,2,0,3,3,5
2/17/20,2,2,0,2,3,0
2/18/20,-1,1,0,1,3,4
2/19/20,0,2,0,2,4,3
2/20/20,0,2,1,1,1,4
2/21/20,1,3,-1,5,5,4
2/22/20,-4,0,5,-4,6,-19
2/23/20,-2,-2,1,-2,4,-2
2/24/20,-2,-1,1,0,1,2
2/25/20,-1,0,0,1,2,4
2/26/20,-1,-2,0,1,3,1
2/27/20,0,0,-1,3,1,3
2/28/20,-1,-1,0,1,3,4
2/29/20,0,1,0,1,3,5
3/1/20,-2,-1,0,0,-1,8
3/2/20,1,4,1,0,1,3
3/3/20,0,2,0,0,3,5
3/4/20,-1,2,0,0,3,4
3/5/20,0,5,0,3,1,7
3/6/20,-1,3,0,2,3,5
3/7/20,-1,2,1,3,0,5
3/8/20,0,6,0,5,2,7
3/9/20,2,9,0,3,2,6
3/10/20,-1,6,3,-6,4,-12
3/11/20,-19,-23,11,-22,-4,-44
3/12/20,-5,-1,1,-1,-2,-5
3/13/20,-3,1,0,0,2,0
3/14/20,-5,1,1,-2,0,0
3/15/20,-11,-3,4,-8,-6,-6
3/16/20,-11,-1,3,-7,-6,2
3/17/20,-8,2,3,-6,-1,-4
3/18/20,-11,0,3,-9,-2,-8
3/19/20,-12,1,4,-10,-6,-8
3/20/20,-16,1,5,-14,-7,-11
3/21/20,-22,1,7,-18,-13,-15
3/22/20,-34,-4,8,-25,-23,-18
3/23/20,-78,-76,21,-70,-58,-49
3/24/20,-54,-27,20,-52,-35,-50
3/25/20,-68,-48,25,-64,-44,-65
3/26/20,-77,-64,30,-73,-53,-72
3/27/20,-76,-64,30,-73,-51,-70
3/28/20,-77,-64,31,-73,-52,-70
3/29/20,-78,-65,29,-73,-54,-66
3/30/20,-77,-65,22,-71,-57,-47
3/31/20,-76,-63,30,-74,-51,-68
4/1/20,-75,-63,29,-73,-50,-68
4/2/20,-76,-64,29,-73,-52,-68
4/3/20,-76,-65,30,-74,-51,-69
4/4/20,-76,-62,30,-73,-51,-67
4/5/20,-77,-64,28,-73,-53,-61
4/6/20,-77,-65,21,-71,-56,-43
4/7/20,-76,-63,30,-73,-50,-68
4/8/20,-78,-53,28,-67,-46,-67
4/9/20,-78,-52,29,-68,-48,-67
4/10/20,-78,-54,30,-68,-48,-68
4/11/20,-79,-53,32,-69,-48,-69
4/12/20,-80,-55,30,-69,-52,-64
4/13/20,-79,-56,22,-67,-54,-44
4/14/20,-78,-53,31,-69,-48,-66
4/15/20,-78,-55,30,-69,-47,-69
4/16/20,-78,-51,29,-66,-48,-64
4/17/20,-85,-44,30,-65,-60,-65
4/18/20,-85,-43,31,-65,-60,-65
4/19/20,-87,-50,28,-67,-66,-60
4/20/20,-86,-50,22,-65,-68,-42
4/21/20,-86,-47,30,-67,-62,-63
4/22/20,-85,-47,29,-66,-62,-64
4/23/20,-86,-46,29,-66,-63,-63
4/24/20,-86,-47,30,-66,-62,-64
4/25/20,-85,-44,30,-66,-63,-63
4/26/20,-86,-46,29,-66,-65,-59
4/27/20,-86,-51,22,-66,-68,-41
4/28/20,-85,-47,31,-67,-62,-62
4/29/20,-85,-46,28,-66,-61,-63
4/30/20,-85,-44,29,-64,-62,-61
5/1/20,-84,-43,29,-64,-60,-61
5/2/20,-85,-43,30,-65,-62,-64
5/3/20,-85,-44,27,-64,-64,-54
5/4/20,-85,-46,21,-63,-67,-37
5/5/20,-81,-35,27,-61,-60,-56
5/6/20,-81,-35,26,-59,-60,-56
5/7/20,-79,-30,25,-56,-60,-54
5/8/20,-79,-31,26,-57,-59,-56
5/9/20,-79,-28,26,-56,-59,-52
5/10/20,-80,-32,25,-57,-62,-49
5/11/20,-82,-39,19,-58,-65,-32
5/12/20,-78,-28,25,-56,-58,-50
5/13/20,-78,-28,24,-55,-57,-52
5/14/20,-77,-26,23,-53,-58,-49
5/15/20,-77,-27,23,-54,-57,-49
5/16/20,-76,-22,23,-52,-56,-48
5/17/20,-77,-25,22,-52,-59,-41
5/18/20,-79,-32,17,-54,-63,-27
5/19/20,-74,-21,22,-52,-56,-45
5/20/20,-73,-20,21,-50,-56,-46
5/21/20,-72,-21,21,-49,-57,-44
5/22/20,-72,-20,21,-49,-56,-44
5/23/20,-72,-17,21,-48,-56,-42
5/24/20,-72,-18,19,-48,-59,-37
5/25/20,-76,-28,15,-50,-61,-24
5/26/20,-71,-19,22,-51,-55,-51
5/27/20,-70,-16,19,-46,-54,-42
5/28/20,-69,-13,19,-45,-55,-39
5/29/20,-69,-14,19,-46,-54,-40
5/30/20,-69,-10,19,-45,-54,-38
5/31/20,-69,-12,17,-44,-58,-29
6/1/20,-73,-22,14,-46,-61,-16
6/2/20,-65,-4,17,-41,-53,-35
6/3/20,-65,-4,16,-40,-53,-37
6/4/20,-65,-4,17,-40,-54,-35
6/5/20,-64,-4,16,-39,-53,-35
6/6/20,-62,-2,17,-39,-52,-34
6/7/20,-63,-5,15,-39,-55,-26
6/8/20,-67,-14,12,-41,-58,-14
6/9/20,-59,2,15,-38,-51,-32
6/10/20,-59,0,15,-37,-51,-34
6/11/20,-58,2,15,-35,-51,-32
6/12/20,-57,2,15,-36,-49,-33
6/13/20,-57,6,15,-36,-50,-33
6/14/20,-59,-1,15,-37,-53,-29
6/15/20,-64,-12,12,-39,-56,-14
6/16/20,-56,3,15,-37,-49,-33
6/17/20,-57,1,14,-37,-48,-34
6/18/20,-56,3,14,-35,-50,-33
6/19/20,-57,-1,15,-38,-49,-34
6/20/20,-57,1,15,-38,-50,-34
6/21/20,-59,-4,13,-38,-53,-25
6/22/20,-68,-25,15,-47,-58,-18
6/23/20,-55,4,15,-37,-49,-34
6/24/20,-56,3,15,-36,-48,-36
6/25/20,-56,2,14,-36,-50,-33
6/26/20,-58,-2,15,-38,-49,-34
6/27/20,-58,1,15,-38,-49,-33
6/28/20,-60,-5,14,-39,-53,-29
6/29/20,-65,-17,12,-42,-57,-16
6/30/20,-57,-1,15,-39,-49,-33
7/1/20,-55,0,14,-38,-48,-35
7/2/20,-56,0,14,-38,-49,-33
7/3/20,-56,-2,15,-39,-48,-34
7/4/20,-57,0,16,-39,-49,-33
7/5/20,-59,-5,14,-40,-53,-26
7/6/20,-68,-23,14,-48,-57,-20
7/7/20,-56,-1,15,-40,-49,-33
7/8/20,-56,-2,15,-39,-48,-35
7/9/20,-56,-3,15,-39,-50,-32
7/10/20,-57,-4,15,-40,-49,-33
7/11/20,-57,-1,16,-39,-50,-33
7/12/20,-61,-12,16,-43,-54,-32
7/13/20,-71,-30,15,-51,-58,-22
7/14/20,-55,0,15,-40,-49,-33
7/15/20,-58,-5,16,-41,-49,-36
7/16/20,-59,-9,17,-41,-51,-34
7/17/20,-59,-10,17,-42,-50,-35
7/18/20,-59,-7,17,-41,-50,-34
7/19/20,-64,-18,17,-44,-54,-30
7/20/20,-71,-32,15,-51,-58,-23
7/21/20,-58,-9,17,-43,-50,-36
7/22/20,-59,-11,17,-42,-50,-37
